composition,winrate,games
10|13|16|18|2|72,0.0,1
10|13|16|18|2|76,0.0,1
10|13|16|18|31|7,0.0,1
10|13|16|18|3|35,0.0,1
10|13|16|18|3|58,1.0,1
10|13|16|18|3|65,0.5,2
10|13|16|18|50|72,0.0,1
10|13|16|18|52|64,0.0,1
10|13|16|18|52|69,1.0,1
10|13|16|18|52|77,0.0,1
10|13|16|18|52|79,0.0,1
10|13|16|18|52|80,0.0,1
10|13|16|18|52|81,0.0,1
10|13|16|18|63|66,1.0,1
10|13|16|18|63|80,0.0,1
10|13|16|18|63|81,1.0,1
10|13|16|18|64|7,0.0,2
10|13|16|18|65|67,1.0,1
10|13|16|18|65|76,0.0,1
10|13|16|18|65|77,0.0,1
10|13|16|18|66|7,0.0,2
10|13|16|18|67|81,0.0,1
10|13|16|18|7|72,0.666667,3
10|13|16|18|7|8,1.0,2
10|13|16|18|7|81,1.0,1
10|13|16|19|20|31,1.0,1
10|13|16|19|20|6,1.0,1
10|13|16|19|20|63,0.0,1
10|13|16|19|20|8,0.0,1
10|13|16|19|27|69,1.0,1
10|13|16|19|2|8,1.0,1
10|13|16|19|31|52,1.0,1
10|13|16|19|35|8,1.0,2
10|13|16|19|3|60,0.0,1
10|13|16|19|4|64,0.0,1
10|13|16|19|4|69,0.0,1
10|13|16|19|52|67,0.5,2
10|13|16|19|58|79,0.0,1
10|13|16|20|25|31,1.0,1
10|13|16|20|25|35,0.0,1
10|13|16|20|25|63,0.0,1
10|13|16|20|27|6,0.5,2
10|13|16|20|31|64,0.5,2
10|13|16|20|31|77,0.5,2
10|13|16|20|31|80,0.0,2
10|13|16|20|35|80,1.0,1
10|13|16|20|3|66,1.0,1
10|13|16|20|4|6,1.0,1
10|13|16|20|6|63,0.0,1
10|13|16|20|6|64,0.0,1
10|13|16|20|6|77,1.0,2
10|13|16|20|6|81,1.0,1
10|13|16|25|35|8,0.0,1
10|13|16|25|58|79,0.0,1
10|13|16|25|69|76,1.0,2
10|13|16|27|35|8,0.0,1
10|13|16|27|4|69,1.0,1
10|13|16|27|52|79,0.0,1
10|13|16|31|35|4,1.0,1
10|13|16|31|35|64,0.0,1
10|13|16|31|35|7,1.0,1
10|13|16|31|35|80,1.0,1
10|13|16|31|60|77,0.0,1
10|13|16|31|77|8,1.0,1
10|13|16|35|50|72,0.0,1
10|13|16|35|77|8,1.0,1
10|13|16|35|8|81,1.0,1
10|13|16|3|31|35,0.0,1
10|13|16|3|31|6,0.0,1
10|13|16|3|35|6,0.0,1
10|13|16|52|77|79,1.0,1
10|13|16|60|64|66,0.0,1
10|13|16|64|67|77,0.0,1
10|13|16|65|77|79,0.0,1
10|13|16|69|72|81,0.0,1
10|13|16|6|64|8,1.0,1
10|13|16|6|7|8,1.0,1
10|13|17|18|35|81,1.0,1
10|13|17|18|3|77,1.0,1
10|13|17|20|27|67,0.0,1
10|13|17|25|65|80,0.0,1
10|13|17|58|72|81,0.0,1
10|13|18|19|20|65,1.0,2
10|13|18|19|20|7,0.0,2
10|13|18|19|2|35,1.0,1
10|13|18|19|31|50,0.0,1
10|13|18|19|31|7,0.5,2
10|13|18|19|3|4,1.0,1
10|13|18|19|3|63,1.0,1
10|13|18|19|3|76,0.0,1
10|13|18|19|63|69,1.0,1
10|13|18|19|65|81,0.0,1
10|13|18|19|69|7,1.0,1
10|13|18|19|7|77,0.0,1
10|13|18|20|25|65,0.0,1
10|13|18|20|27|50,0.0,1
10|13|18|20|27|63,1.0,1
10|13|18|20|31|77,1.0,1
10|13|18|20|3|4,1.0,2
10|13|18|20|3|80,0.0,1
10|13|18|20|4|7,0.0,1
10|13|18|20|50|64,1.0,1
10|13|18|20|50|77,1.0,1
10|13|18|20|50|80,0.0,1
10|13|18|20|52|77,0.0,1
10|13|18|20|63|64,1.0,1
10|13|18|20|64|7,0.0,2
10|13|18|20|65|72,1.0,1
10|13|18|20|65|77,0.0,1
10|13|18|20|65|80,1.0,1
10|13|18|20|65|81,1.0,1
10|13|18|20|7|72,1.0,1
10|13|18|20|7|77,1.0,1
10|13|18|20|7|80,0.0,2
10|13|18|25|31|50,0.0,1
10|13|18|25|31|7,1.0,1
10|13|18|25|50|81,1.0,1
10|13|18|25|52|58,0.0,1
10|13|18|25|65|8,0.5,2
10|13|18|27|31|65,1.0,1
10|13|18|27|31|7,1.0,2
10|13|18|27|31|81,0.0,1
10|13|18|27|35|7,0.0,1
10|13|18|27|3|81,1.0,1
10|13|18|27|52|8,0.0,1
10|13|18|27|65|79,0.0,1
10|13|18|27|67|76,1.0,1
10|13|18|27|76|80,1.0,1
10|13|18|27|77|8,0.0,1
10|13|18|27|80|81,1.0,1
10|13|18|2|25|31,1.0,1
10|13|18|2|27|64,0.0,1
10|13|18|2|31|64,0.0,1
10|13|18|2|60|66,0.0,1
10|13|18|2|64|77,1.0,1
10|13|18|2|66|69,0.0,1
10|13|18|2|66|8,1.0,1
10|13|18|2|6|64,1.0,1
10|13|18|2|72|8,0.0,1
10|13|18|2|77|79,0.0,1
10|13|18|31|35|52,0.5,2
10|13|18|31|35|7,1.0,1
10|13|18|31|4|64,1.0,1
