hero_a,hero_b,winrate,games
4,66,0.505535,271
4,67,0.52766,235
4,69,0.512346,324
4,7,0.526316,608
4,72,0.567164,201
4,76,0.506098,164
4,77,0.508274,423
4,79,0.596429,280
4,8,0.403162,253
4,80,0.465455,275
4,81,0.47541,305
50,1,0.575758,264
50,10,0.551724,551
50,11,0.507463,268
50,12,0.521739,207
50,13,0.477314,551
50,14,0.53125,160
50,15,0.568862,334
50,16,0.472119,807
50,17,0.55414,157
50,18,0.479245,530
50,19,0.50358,419
50,2,0.509972,351
50,20,0.447447,666
50,25,0.515419,227
50,27,0.534483,348
50,3,0.515837,442
50,31,0.515152,693
50,35,0.513064,421
50,4,0.487252,353
50,52,0.583333,288
50,58,0.472222,144
50,6,0.525994,327
50,60,0.574879,207
50,63,0.539773,352
50,64,0.493997,583
50,65,0.518092,608
50,66,0.485294,272
50,67,0.529412,255
50,69,0.507177,418
50,7,0.499314,729
50,72,0.579208,202
50,76,0.518293,164
50,77,0.488462,520
50,79,0.614198,324
50,8,0.40856,257
50,80,0.545706,361
50,81,0.441624,394
52,1,0.438356,219
52,10,0.457219,374
52,11,0.353191,235
52,12,0.397196,214
52,13,0.409524,420
52,14,0.42446,139
52,15,0.509579,261
52,16,0.354531,629
52,17,0.476636,107
52,18,0.37797,463
52,19,0.42671,307
52,2,0.387597,258
52,20,0.363821,492
52,25,0.390476,210
52,27,0.424354,271
52,3,0.386581,313
52,31,0.388548,489
52,35,0.387879,330
52,4,0.452,250
52,50,0.416667,288
52,58,0.465347,101
52,6,0.394068,236
52,60,0.452381,126
52,63,0.398268,231
52,64,0.371938,449
52,65,0.405088,511
52,66,0.395833,240
52,67,0.39196,199
52,69,0.414414,333
52,7,0.361953,594
52,72,0.417178,163
52,76,0.467626,139
52,77,0.402036,393
52,79,0.505929,253
52,8,0.302326,215
52,80,0.407547,265
52,81,0.385852,311
58,1,0.617647,102
58,10,0.544248,226
58,11,0.546296,108
58,12,0.511364,88
58,13,0.525424,236
58,14,0.548387,62
58,15,0.558442,154
58,16,0.493464,306
58,17,0.528571,70
58,18,0.510917,229
58,19,0.556122,196
58,2,0.488372,129
58,20,0.489655,290
58,25,0.510204,98
58,27,0.512397,121
58,3,0.515337,163
58,31,0.542751,269
58,35,0.513889,144
58,4,0.46087,115
58,50,0.527778,144
58,52,0.534653,101
58,6,0.533784,148
58,60,0.571429,70
58,63,0.528169,142
58,64,0.505747,261
58,65,0.542857,245
58,66,0.495146,103
58,67,0.517857,112
58,69,0.459119,159
58,7,0.492063,252
58,72,0.541667,96
58,76,0.590361,83
58,77,0.522388,201
58,79,0.582734,139
58,8,0.514286,105
58,80,0.491124,169
58,81,0.483696,184
6,1,0.493103,290
6,10,0.542735,468
6,11,0.459559,272
6,12,0.501946,257
6,13,0.47,500
6,14,0.575949,158
6,15,0.490085,353
6,16,0.455013,778
6,17,0.540698,172
6,18,0.449568,694
6,19,0.510204,490
6,2,0.479769,346
6,20,0.44403,536
6,25,0.508143,307
6,27,0.531447,318
6,3,0.503125,320
6,31,0.515373,683
6,35,0.470284,387
6,4,0.478006,341
6,50,0.474006,327
6,52,0.605932,236
6,58,0.466216,148
6,60,0.524752,202
6,63,0.528902,346
6,64,0.501502,666
