match_id,team_a_strength_score,team_b_strength_score
67843876,0.0,14.0
67844351,0.0,14.0
67844369,0.0,14.0
67844463,0.0,14.0
67844831,0.0,14.0
67845289,0.0,14.0
67845520,0.0,14.0
67845680,0.0,14.0
67846501,0.0,14.0
67847199,0.0,14.0
67847371,0.0,14.0
67847585,0.0,14.0
67847691,0.0,14.0
67847935,0.0,14.0
67848098,0.0,14.0
67848601,0.0,14.0
67849024,0.0,14.0
67849031,0.0,14.0
67849387,0.0,14.0
67849528,0.0,14.0
67849591,0.0,14.0
67849684,0.0,14.0
67849778,0.0,14.0
67849819,0.0,14.0
67850141,0.0,14.0
67850309,0.0,14.0
67851225,0.0,14.0
67851458,0.0,14.0
67851468,0.0,14.0
67851513,0.0,14.0
67851529,0.0,14.0
67851647,0.0,14.0
67851694,0.0,14.0
67852002,0.0,14.0
67852049,0.0,14.0
67852112,0.0,14.0
67852145,0.0,14.0
67852189,0.0,14.0
67852299,0.0,14.0
67852302,0.0,14.0
67852360,0.0,14.0
67852367,0.0,14.0
67852406,0.0,14.0
67852453,0.0,14.0
67852464,0.0,14.0
67852476,0.0,14.0
67852599,0.0,14.0
67852614,0.0,14.0
67852625,0.0,14.0
67852626,0.0,14.0
67852629,0.0,14.0
67852694,0.0,14.0
67852844,0.0,14.0
67852908,0.0,14.0
67852912,0.0,14.0
67852942,0.0,14.0
67852945,0.0,14.0
67852951,0.0,14.0
67852984,0.0,14.0
67853007,0.0,14.0
67853032,0.0,14.0
67853072,0.0,14.0
67853077,0.0,14.0
67853078,0.0,14.0
67853096,0.0,14.0
67853133,0.0,14.0
67853134,0.0,14.0
67853168,0.0,14.0
67853301,0.0,14.0
67853340,0.0,14.0
67853353,0.0,14.0
67853377,0.0,14.0
67853412,0.0,14.0
67853448,0.0,14.0
67853471,0.0,14.0
67853489,0.0,14.0
67853505,0.0,14.0
67853532,0.0,14.0
67853590,0.0,14.0
67853608,0.0,14.0
67853633,0.0,14.0
67853635,0.0,14.0
67853666,0.0,14.0
67853668,0.0,14.0
67853670,0.0,14.0
67853729,0.0,14.0
67853731,0.0,14.0
67853798,0.0,14.0
67853822,0.0,14.0
67853867,0.0,14.0
67853919,0.0,14.0
67853921,0.0,14.0
67853923,0.0,14.0
67853925,0.0,14.0
67853960,0.0,14.0
67853962,0.0,14.0
67854001,0.0,14.0
67854007,0.0,14.0
67854069,0.0,14.0
67854099,0.0,14.0
67854282,0.0,14.0
67854329,0.0,14.0
67854340,0.0,14.0
67854346,0.0,14.0
67854389,0.0,14.0
67854467,0.0,14.0
67854475,0.0,14.0
67855180,0.0,14.0
67855928,0.0,14.0
67856682,0.0,14.0
