hero_a,hero_b,winrate,games
50,4,0.485804,317
50,52,0.572464,276
50,58,0.486486,148
50,6,0.530744,309
50,60,0.568528,197
50,63,0.541033,329
50,64,0.502636,569
50,65,0.524671,608
50,66,0.490196,255
50,67,0.516129,248
50,69,0.513716,401
50,7,0.504386,684
50,72,0.562189,201
50,76,0.526882,186
50,77,0.5,512
50,79,0.623457,324
50,8,0.415638,243
50,80,0.538043,368
50,81,0.44665,403
52,1,0.434389,221
52,10,0.458667,375
52,11,0.373333,225
52,12,0.412322,211
52,13,0.411058,416
52,14,0.424837,153
52,15,0.516729,269
52,16,0.360601,599
52,17,0.466019,103
52,18,0.380313,447
52,19,0.425806,310
52,2,0.389105,257
52,20,0.373418,474
52,25,0.402778,216
52,27,0.437037,270
52,3,0.397959,294
52,31,0.399177,486
52,35,0.390476,315
52,4,0.464135,237
52,50,0.427536,276
52,58,0.466667,105
52,6,0.398305,236
52,60,0.464,125
52,63,0.408889,225
52,64,0.373894,452
52,65,0.413462,520
52,66,0.416309,233
52,67,0.38835,206
52,69,0.415152,330
52,7,0.368881,572
52,72,0.422619,168
52,76,0.479167,144
52,77,0.423077,390
52,79,0.509506,263
52,8,0.300971,206
52,80,0.414286,280
52,81,0.379104,335
58,1,0.612245,98
58,10,0.549356,233
58,11,0.54717,106
58,12,0.5,82
58,13,0.54,250
58,14,0.573529,68
58,15,0.54321,162
58,16,0.475524,286
58,17,0.492958,71
58,18,0.506494,231
58,19,0.538462,195
58,2,0.479675,123
58,20,0.496377,276
58,25,0.528302,106
58,27,0.516949,118
58,3,0.506757,148
58,31,0.533582,268
58,35,0.489051,137
58,4,0.484848,99
58,50,0.513514,148
58,52,0.533333,105
58,6,0.543624,149
58,60,0.56338,71
58,63,0.546099,141
58,64,0.501859,269
58,65,0.533333,240
58,66,0.542553,94
58,67,0.486726,113
58,69,0.472222,144
58,7,0.489451,237
58,72,0.488889,90
58,76,0.56044,91
58,77,0.535545,211
58,79,0.592857,140
58,8,0.514851,101
58,80,0.481481,189
58,81,0.475,200
6,1,0.491409,291
6,10,0.546414,474
6,11,0.431227,269
6,12,0.52459,244
6,13,0.476096,502
6,14,0.581818,165
6,15,0.497396,384
6,16,0.447075,718
6,17,0.536723,177
6,18,0.446064,686
6,19,0.522358,492
6,2,0.476879,346
6,20,0.44084,524
6,25,0.520376,319
6,27,0.528302,318
6,3,0.503226,310
6,31,0.524229,681
6,35,0.466851,362
6,4,0.476974,304
6,50,0.469256,309
6,52,0.601695,236
6,58,0.456376,149
6,60,0.542289,201
6,63,0.53869,336
6,64,0.491279,688
6,65,0.51166,729
6,66,0.458484,277
6,67,0.486275,255
6,69,0.491639,299
6,7,0.446154,520
6,72,0.52439,246
6,76,0.480392,204
6,77,0.504621,541
6,79,0.581461,356
6,8,0.461883,223
6,80,0.51087,460
6,81,0.447307,427
60,1,0.488,125
60,10,0.463878,263
60,11,0.417219,151
60,12,0.442748,131
60,13,0.437722,281
60,14,0.412698,63
60,15,0.505208,192
60,16,0.402913,412
60,17,0.455556,90
60,18,0.435424,271
60,19,0.455497,191
60,2,0.472222,180
60,20,0.435897,312
60,25,0.486726,113
60,27,0.496644,149
60,3,0.459459,222
60,31,0.452055,365
60,35,0.367347,147
60,4,0.481481,162
60,50,0.431472,197
60,52,0.536,125
60,58,0.43662,71
60,6,0.457711,201
60,63,0.459596,198
60,64,0.455128,312
60,65,0.460568,317
60,66,0.514019,107
60,67,0.457831,166
60,69,0.425,200
60,7,0.414474,304
60,72,0.529915,117
60,76,0.484375,128
60,77,0.452991,234
60,79,0.564815,216
60,8,0.392,125
60,80,0.46,200
60,81,0.45045,222
63,1,0.476,250
63,10,0.503198,469
63,11,0.393502,277
63,12,0.463303,218
63,13,0.479612,515
63,14,0.493506,154
